has_spf,has_dkim,has_dmarc,domain_matches,auth_warn,has_suspect_subject,subject_is_uppercase,send_date_is_RFC2822_compliant,send_date_tz_is_valid,has_received_date,uppercase_body,script,images,https_only,mailto,links,bad_words_percentage,html,form,polarity,subjectivity,attachments,attach_is_executable,is_spam
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.2285714285714286,0.4857142857142857,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.07987012987012987,0.38311688311688313,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.0,0.0,False,False,1
False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,0.0,True,False,0.605,0.79,False,False,1
False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True,0.0,True,False,0.25,0.22499999999999998,False,False,1
False,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.27878787878787875,0.4181818181818182,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,False,False,0.6,0.9,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.15,0.4666666666666667,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.08333333333333333,0.22916666666666666,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.13333333333333333,0.4916666666666667,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.022727272727272728,True,False,0.10625000000000001,0.4,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,0.0,True,False,-0.18194444444444444,0.5291666666666667,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.23277511961722494,0.5919989367357787,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,0.0,True,False,0.36,0.5650000000000001,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.015625,True,False,0.10606060606060604,0.3590909090909091,False,False,1
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0,False,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,False,False,True,False,False,False,True,True,True,False,False,True,True,False,True,0.0,True,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
